"Type","Name","Str","Dex","Int","Hits","Stam","Mana","Physical Resist","Fire Resist","Cold Resist","Poison Resist","Energy Resist","Physical Damage","Fire Damage","Cold Damage","Poison Damage","Energy Damage","Taming Difficulty","Barding Difficulty","TMap Level","Wrestling Skill"
"SAPixie","Nedra","26","313","203","39","313","203","87","45","49","43","47","100","0","0","0","0","0","82.2","-1","11.1"
"Satyr","a satyr","191","265","159","543","265","159","55","28","36","38","31","100","0","0","0","0","0","105.1","-1","82.6"
"Savage","Sargaza","101","97","60","101","97","60","6","6","8","4","8","100","0","0","0","0","0","72.3","-1","0"
"SavageRider","Jelak","162","128","56","162","128","56","11","9","16","8","12","100","0","0","0","0","0","79.1","-1","0"
"SavageRidgeback","a savage ridgeback","99","63","29","143","63","29","18","13","20","10","12","100","0","0","0","0","83.1","45.38","-1","39.9"
"SavageShaman","Karawyn","142","107","161","142","107","161","43","40","44","31","65","100","0","0","0","0","0","89","-1","71.4"
"ScaledSwampDragon","a swamp dragon","247","83","84","379","83","84","36","24","26","25","33","75","0","0","25","0","93.9","77.7","-1","50.8"
"Scorpion","a scorpion","96","83","26","153","83","26","25","15","22","40","12","60","0","0","40","0","47.1","73.4","-1","60.3"
"SeaHorse","a sea horse","56","71","10","56","71","10","0","0","0","0","0","100","0","0","0","0","0","30.26","-1","37.4"
"SeaSerpent","a sea serpent","207","58","94","321","58","94","34","53","37","35","20","100","0","0","0","0","0","77.5","1","61"
"SentinelSpider","a Sentinel spider","96","143","40","358","143","40","48","32","34","74","35","100","0","0","0","0","0","87.2","-1","119.5"
"SerpentineDragon","a serpentine dragon","140","205","1022","480","205","1022","35","27","34","28","25","75","0","0","25","0","108","128.7","4","58"
"SerpentsFangAssassin","Black Order Assassin","442","163","173","882","163","173","79","64","69","60","56","100","0","0","0","0","0","125.9","-1","105.8"
"SerpentsFangHighExecutioner","Black Order High Executioner","549","171","163","800","369","163","86","70","69","59","60","100","0","0","0","0","0","126.1","-1","100.5"
"Sewerrat","a sewer rat","9","25","6","6","25","6","6","0","0","15","5","100","0","0","0","0","-0.9","8.46","-1","5"
"Shade","a shade","92","94","36","144","94","36","29","0","21","17","0","50","0","50","0","0","0","74.4","-1","45.5"
"ShadowDweller","a shadow dweller","191","142","288","297","142","288","50","21","55","55","41","10","0","40","0","50","0","93.4","3","0"
"ShadowIronElemental","a shadow iron elemental","239","129","77","380","129","77","40","37","30","14","38","100","0","0","0","0","0","83.4","1","61.7"
"ShadowWisp","a shadow wisp","31","23","19","41","23","19","16","9","0","7","17","100","0","0","0","0","0","45.06","-1","25.1"
"ShadowWyrm","a shadow wyrm","1016","80","533","1597","80","533","66","53","53","23","50","75","0","25","0","0","105","160","5","99.8"
"Sheep","a sheep","19","25","5","12","25","5","5","0","0","0","0","100","0","0","0","0","11.1","14.22","-1","5"
"SilverSerpent","a silver serpent","346","158","31","489","158","31","43","8","8","100","7","50","0","0","50","0","0","94.9","-1","99"
"SilverSteed","a silver steed","50","61","10","50","61","10","0","0","0","0","0","100","0","0","0","0","103.1","32.4","-1","36"
"SkeletalCat","Skeletal Cat","400","125","51","240","125","51","49","36","40","39","37","100","0","0","0","0","30","68.5","-1","30.4"
"SkeletalDragon","a skeletal dragon","941","154","524","1535","154","524","79","44","53","76","45","75","25","0","0","0","0","160","-1","100"
"SkeletalDrake","a skeletal drake","643","97","379","983","97","379","78","45","56","76","54","75","25","0","0","0","0","121.8","-1","64.5"
"SkeletalKnight","a skeletal knight","203","92","50","351","92","50","45","23","54","28","34","40","0","60","0","0","0","78.6","-1","92.1"
"SkeletalLich","a skeletal lich","338","75","180","1200","225","180","41","25","60","47","29","0","0","50","50","0","0","138.1","1","98.5"
"SkeletalMage","a skeletal mage","83","64","205","143","64","205","38","26","56","20","31","100","0","0","0","0","0","83.6","-1","45.8"
"SkeletalMount","a skeletal steed","100","47","59","147","47","59","51","0","92","100","14","50","0","50","0","0","0","70.5","-1","70.1"
"Skeleton","a skeleton","63","70","34","97","70","34","20","10","32","33","9","100","0","0","0","0","0","54.12","-1","46.2"
"SkitteringHopper","a skittering hopper","64","96","26","100","96","26","10","0","18","0","10","100","0","0","0","0","-12.9","48","1","50.3"
"Skree","a skree","307","113","244","539","113","244","61","49","27","56","36","100","0","0","0","0","95.1","103.6","-1","104.3"
"Slime","a slime","25","21","17","43","21","17","6","0","0","11","0","100","0","0","0","0","23.1","40.88","-1","28"
"Slith","a slith","136","75","13","220","75","13","39","38","0","34","25","100","0","0","0","0","80.7","71.7","2","74.3"
"Snake","a snake","22","24","6","37","24","6","19","0","0","29","0","100","0","0","0","0","59.1","40.72","-1","26.4"
"SnowElemental","a snow elemental","346","168","84","554","168","84","47","11","66","35","34","20","0","80","0","0","0","88.5","2","90.3"
"SnowLeopard","a snow leopard","67","70","44","109","70","44","22","9","30","18","22","100","0","0","0","0","53.1","49.74","-1","47.8"
"SpeckledScorpion","a speckled scorpion","99","83","23","149","83","23","25","14","24","49","13","60","0","0","40","0","47.1","73.9","-1","59.2"
"SpectralArmour","spectral armour","107","107","105","297","301","105","45","33","46","34","26","75","0","25","0","0","0","86.7","-1","75.2"
"Spectre","a spectre","84","94","42","142","94","42","25","0","19","18","0","50","0","50","0","0","0","75.2","-1","52.4"
"Spellbinder","a spectral spellbinder","46","57","203","82","57","203","30","0","18","15","0","100","0","0","0","0","0","63.42","-1","40.7"
"Squirrel","a squirrel","48","35","5","95","35","5","31","12","31","21","25","100","0","0","0","0","-21.3","22.6","-1","4"
"StoneGargoyle","a stone gargoyle","260","90","94","409","90","94","50","27","13","33","31","100","0","0","0","0","0","81.5","2","76.7"
"StoneHarpy","a stone harpy","314","109","61","495","109","61","46","21","20","33","35","75","0","0","25","0","0","85","-1","80.9"
"StoneMonster","Stone Monster","811","102","444","1292","102","444","63","67","35","28","36","100","0","0","0","0","0","138.1","-1","92.2"
"StoneSlith","a stone slith","279","86","47","440","167","86","55","22","13","37","31","100","0","0","0","0","65.1","85.9","-1","84.3"
"StrongMongbat","a mongbat","8","37","6","13","37","6","16","0","0","0","0","100","0","0","0","0","71.1","16.98","-1","29.7"
"StygianDrake","Stygian Drake","796","106","441","1303","106","441","60","64","39","35","66","100","0","0","0","0","85","141.3","2","98.4"
"Succubus","a succubus","572","143","561","913","143","561","86","74","49","55","51","75","0","0","0","25","0","128.8","5","80.9"
"SwampDragon","a swamp dragon","202","68","100","350","68","100","40","27","21","24","36","75","0","0","25","0","93.9","76.9","-1","53.2"
"SwampTentacle","a swamp tentacle","110","73","26","169","73","26","35","11","13","75","19","40","0","0","60","0","0","70.2","-1","75.1"
"TanglingRoots","a tangling root","165","51","30","404","51","30","39","0","12","100","17","60","0","0","40","0","0","77.5","-1","53.7"
"TerathanAvenger","a terathan avenger","606","88","138","955","88","193","46","40","38","91","43","50","0","0","50","0","0","123.1","3","97.8"
"TerathanDrone","a terathan drone","46","124","41","71","124","41","22","11","19","38","16","100","0","0","0","0","0","50.46","-1","41.4"
"TerathanMatriarch","a terathan matriarch","387","105","384","620","105","384","48","36","41","48","40","100","0","0","0","0","0","107.3","4","73.2"
"TerathanWarrior","a terathan warrior","200","138","65","308","138","65","32","24","35","30","35","100","0","0","0","0","0","80.3","1","83"
"TheButcher","Wormius","293","90","892","1181","90","892","78","29","67","60","36","20","0","40","0","40","0","159.4","1","79.4"
"Parrot","a parrot","10","27","10","10","27","10","0","0","0","0","0","100","0","0","0","0","0","9.4","-1","6"
"TigersClawMaster","Black Order Master","442","408","203","1307","408","203","68","84","67","49","59","100","0","0","0","0","0","153.1","-1","114.9"
"TigersClawThief","Black Order Thief","358","412","207","1158","412","207","67","79","68","56","48","100","0","0","0","0","0","144.3","-1","99.7"
"TimberWolf","a timber wolf","76","71","25","114","71","25","18","8","12","10","8","100","0","0","0","0","23.1","42.64","-1","54.1"
"Titan","a titan","563","145","284","894","145","284","45","32","28","31","39","100","0","0","0","0","0","118.6","5","45.7"
"TormentedMinotaur","Tormented Minotaur","926","415","133","5110","415","133","62","74","54","56","54","100","0","0","0","0","0","160","3","110.9"
"ToxicElemental","an acid elemental","335","77","276","540","77","276","47","42","20","19","33","25","50","0","0","25","0","103","2","73"
"ToxicSlith","a toxic slith","246","250","35","443","505","35","37","6","9","100","5","100","0","0","0","0","0","98.5","-1","93.3"
"TrapdoorSpider","a trapdoor spider","102","164","38","245","164","38","0","33","35","42","98","20","0","0","80","0","0","83.2","2","93.8"
"Treefellow","a treefellow","200","37","69","330","37","69","20","0","60","30","20","100","0","0","0","0","0","73.9","-1","77"
"TreefellowGuardian","a Treefellow Guardian","533","33","463","1313","33","463","33","0","55","22","83","100","0","0","0","0","0","133","-1","73.5"
"Triceratops","Triceratops","1285","157","283","2425","157","283","80","45","49","31","50","100","0","0","0","0","102","160","-1","104.3"
"Triton","Triton","104","158","109","782","308","109","53","59","51","45","85","50","0","0","0","50","96","111.7","-1","119.1"
"Troglodyte","a troglodyte","184","101","70","496","101","70","33","24","38","34","38","100","0","0","0","0","0","89.7","2","85.5"
"Troll","a troll","200","65","59","311","65","59","40","30","25","15","8","100","0","0","0","0","0","74.5","1","56.5"
"TsukiWolf","a tsuki wolf","417","200","70","853","200","110","60","61","61","70","50","90","0","5","0","5","96","111.8","3","100"
"Turkey","a turkey","5","15","5","75","15","5","1","0","0","0","0","100","0","0","0","0","-0.9","17.5","-1","5"
"UndeadGargoyle","an Undead Gargoyle","258","134","256","554","134","256","46","33","42","55","42","10","0","50","0","40","0","105","1","63.6"
"UndeadGuardian","an undead guardian","212","76","56","138","76","56","38","24","58","28","38","40","0","60","0","0","0","60.78","-1","86.9"
"UnfrozenMummy","an unfrozen mummy","485","247","841","1500","247","841","40","29","71","24","80","0","0","50","0","50","0","160","-1","98.7"
"Unicorn","a unicorn","323","96","203","519","96","203","60","40","37","57","29","75","0","0","0","25","95.1","100","-1","83.3"
"ValoriteElemental","a valorite elemental","247","142","84","383","142","84","67","56","55","55","41","25","25","25","0","25","0","81.8","1","65.2"
"VampireBat","a vampire bat","106","113","41","168","113","41","40","16","20","67","40","80","0","0","20","0","0","70.4","-1","31.1"
"VeriteElemental","a verite elemental","248","134","82","396","134","82","40","10","52","50","52","50","0","0","0","50","0","81.4","1","78.6"
"Virulent","Virulent","244","190","388","957","376","745","64","47","42","100","45","20","0","0","80","0","0","149.3","-1","100.9"
"Viscera","Viscera","259","128","100","488","128","100","49","29","60","28","36","50","0","0","50","0","0","93.1","-1","93.6"
"VoidManifestation","a void manifestation","500","150","105","2400","350","60105","19","54","55","57","52","100","0","0","0","0","0","160","-1","130"
"VorpalBunny","a vorpal bunny","15","2000","1000","2000","2500","1000","0","0","0","0","0","100","0","0","0","0","0","160","-1","5"
"WailingBanshee","a wailing banshee","136","87","90","224","87","90","50","28","72","34","42","20","0","60","20","0","0","71.8","-1","56.3"
"Walrus","a walrus","27","49","20","42","49","20","24","5","21","10","7","100","0","0","0","0","35.1","22.32","-1","24.5"
"WandererOfTheVoid","a wanderer of the void","149","110","329","508","110","329","48","21","43","62","46","0","0","15","0","85","0","103.1","4","69"
"WaterElemental","a water elemental","130","66","104","214","66","104","42","20","10","63","7","100","0","0","0","0","0","79.4","2","64"
"WhippingVine","a whipping vine","295","83","34","295","83","34","77","23","25","79","39","70","0","0","30","0","0","77.4","-1","70"
"WhiteWolf","a white wolf","68","61","40","111","61","40","18","10","25","14","15","100","0","0","0","0","65.1","43.06","-1","51.2"
"WhiteWyrm","a white wyrm","750","126","419","1185","126","419","61","19","88","44","40","50","0","50","0","0","96.3","135.4","4","98.1"
"Wight","a Wight","157","56","163","378","56","163","40","33","50","46","59","20","0","80","0","0","0","85.1","-1","50.5"
"WildTiger","a wild tiger","549","90","144","926","90","144","70","32","59","39","34","100","0","0","0","0","95.1","107.4","1","91.4"
"WildWhiteTiger","a wild white tiger","536","108","116","962","108","116","70","31","57","35","25","100","0","0","0","0","95.1","107.5","1","91.2"
"WildBlackTiger","a wild black tiger","546","124","110","904","124","110","57","22","60","38","30","100","0","0","0","0","95.1","106.5","1","90.3"
"Windrunner","Windrunner","400","125","53","240","125","53","47","37","37","34","31","100","0","0","0","0","0","70.9","-1","31.5"
"Wisp","a wisp","218","225","202","347","225","202","38","26","11","9","53","50","0","0","0","50","0","93","-1","80"
"WolfSpider","a Wolf spider","249","153","285","406","312","593","31","22","27","100","34","70","0","0","30","0","59.1","114.1","-1","80.4"
"Wraith","a wraith","86","89","58","132","89","58","29","0","22","12","0","50","0","50","0","0","0","75.8","-1","48.4"
"Wyvern","a wyvern","221","167","75","357","167","75","45","38","30","96","35","50","0","0","50","0","0","86.8","2","78.7"
"Yamandon","a yamandon","810","341","111","2420","341","111","65","70","57","68","55","70","0","0","20","10","0","160","5","124.2"
"YomotsuElder","a yomotsu elder","794","348","18","1649","348","18","83","47","52","45","31","100","0","0","0","0","0","146.5","5","118.2"
"YomotsuPriest","a yomotsu priest","524","108","620","1040","108","620","72","44","50","48","43","100","0","0","0","0","0","136.1","4","56.9"
"YomotsuWarrior","a yomotsu warrior","507","155","17","999","155","40","68","35","60","43","41","100","0","0","0","0","0","110.8","3","99"
"Zombie","a zombie","57","49","28","98","49","28","16","0","30","7","0","100","0","0","0","0","0","45.18","-1","35.7"
"Abbein","Elder Abbein","100","100","25","100","100","25","1","5","2","2","5","100","0","0","0","0","0","29.9","-1","0"
"Actor","Damara","31","41","51","31","41","51","0","0","0","0","0","100","0","0","0","0","0","16.56","-1","0"
"Alchemist","Berton","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","45.8","-1","0"
"Alelle","Alelle","100","100","25","100","100","25","6","9","6","12","12","100","0","0","0","0","0","28.9","-1","0"
"Alethanian","Elder Alethanian","100","100","25","100","100","25","10","14","14","11","11","100","0","0","0","0","0","29.1","-1","0"
"Aluniol","Aluniol","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","29.1","-1","0"
"Aminia","Aminia","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","31.4","-1","0"
"Aneen","Lorekeeper Aneen","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","29.1","-1","0"
"AnimalTrainer","Brina","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","54.8","-1","0"
"Architect","Carey","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","29.9","-1","0"
"Armorer","Bohdan","100","100","25","100","100","25","7","2","2","2","2","100","0","0","0","0","0","45.3","-1","0"
"Artist","Taylor","31","41","51","31","41","51","0","0","0","0","0","100","0","0","0","0","0","25.36","-1","0"
"Athialon","Athialon","100","100","25","100","100","25","20","10","8","11","11","100","0","0","0","0","0","28.7","-1","0"
"AttendantFortuneTeller","Melian","53","27","101","53","27","101","0","3","5","8","8","100","0","0","0","0","0","29.18","-1","0"
"AttendantGuide","","1","1","1","1","1","1","0","0","0","0","0","100","0","0","0","0","0","2.76","-1","0"
"AttendantMaleGuide","Hastings","60","21","110","60","21","110","0","5","9","5","5","100","0","0","0","0","0","30.2","-1","0"
"AttendantFemaleGuide","Taipa","53","20","106","53","20","106","0","5","9","5","5","100","0","0","0","0","0","28.48","-1","0"
"AttendantHerald","","1","1","1","1","1","1","0","0","0","0","0","100","0","0","0","0","0","2.26","-1","0"
"AttendantMaleHerald","Geoffrey","56","30","109","56","30","109","0","5","9","5","5","100","0","0","0","0","0","30.36","-1","0"
"AttendantFemaleHerald","Ramya","60","20","104","60","20","104","0","5","9","5","5","100","0","0","0","0","0","29.9","-1","0"
"AttendantLuckyDealer","","1","1","1","1","1","1","0","0","0","0","0","100","0","0","0","0","0","6.56","-1","0"
"AttendantMaleLuckyDealer","Collin","51","27","103","51","27","103","0","5","9","5","5","100","0","0","0","0","0","28.76","-1","0"
"AttendantFemaleLuckyDealer","Naia","57","20","104","57","20","104","0","5","9","5","5","100","0","0","0","0","0","23.22","-1","0"
"Baker","Melisenda","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","41.7","-1","0"
"Banker","Dinah","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","29.2","-1","0"
"Bard","Olaf","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","70.6","-1","0"
"BardGuildmaster","Ambis","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","73.5","-1","0"
"Barkeeper","Tyne","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","30.1","-1","0"
"BaseEscortable","Ingmar","90","92","20","90","92","20","0","0","0","0","0","100","0","0","0","0","0","33.2","-1","0"
"BaseHire","","1","1","1","1","1","1","0","0","0","0","0","100","0","0","0","0","0","2.46","-1","0"
"Beekeeper","Corbin","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","28.7","-1","0"
"Blacksmith","Alida","100","100","25","100","100","25","10","5","3","7","5","100","0","0","0","0","0","72.6","-1","0"
"BlacksmithGuildmaster","Ellsworth","100","100","25","100","100","25","10","5","3","7","5","100","0","0","0","0","0","56.9","-1","0"
"Bolaevin","Bolaevin","100","100","25","100","100","25","7","14","8","14","17","100","0","0","0","0","0","29.1","-1","0"
"Bowyer","Manya","100","100","25","100","100","25","2","4","3","3","3","100","0","0","0","0","0","46.7","-1","0"
"BravehornsMate","bravehorn's mate","24","61","44","53","61","44","6","0","5","0","0","100","0","0","0","0","23.1","32.58","-1","26"
"BrideGroom","Penda","96","96","17","96","96","17","0","0","0","0","0","100","0","0","0","0","0","33.96","-1","0"
"Butcher","Geradline","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","34","-1","0"
"Carpenter","Bina","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","45.2","-1","0"
"ChaosGuard","Braz","1000","1000","1000","1000","1000","1000","16","9","6","9","6","100","0","0","0","0","0","160","-1","0"
"Cobbler","Beval","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","36.4","-1","0"
"Cook","Robin","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","47.5","-1","0"
"CustomHairstylist","Sylvia","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","28.9","-1","0"
"Daelas","Daelas","100","100","25","100","100","25","4","6","4","8","8","100","0","0","0","0","0","30.3","-1","0"
"EscortableMage","Davin","95","98","25","95","98","25","0","0","0","0","0","100","0","0","0","0","0","73.3","-1","0"
"EvilHealer","Carma","355","107","299","355","107","299","46","41","41","48","45","100","0","0","0","0","0","102.8","-1","0"
"EvilWanderingHealer","Franklin","317","127","265","317","127","265","43","44","43","42","44","100","0","0","0","0","0","100.4","-1","0"
"Farmer","Janelle","100","100","25","100","100","25","0","5","9","5","5","100","0","0","0","0","0","44.5","-1","0"
"FisherGuildmaster","Cavan","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","37.2","-1","0"
"Fisherman","Corbin","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","39.2","-1","0"
"Furtrader","Braden","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","59.9","-1","0"
"Gardener","Manfred","100","100","25","100","100","25","0","5","9","5","5","100","0","0","0","0","0","30","-1","0"
"GargishNoble","Duane","90","93","21","90","93","21","0","0","0","0","0","100","0","0","0","0","0","59.7","-1","0"
"GargishRefugee","Refugee","1","1","1","1","1","1","0","0","0","0","0","100","0","0","0","0","0","7.56","-1","0"
"GargishWanderingHealer","Soterios","331","124","230","331","124","230","50","49","43","50","50","100","0","0","0","0","0","99.6","-1","0"
"GargishWarrior","Warrior","1","1","1","1","1","1","32","24","20","24","20","100","0","0","0","0","0","3.06","-1","0"
"Glassblower","Colby","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","48.8","-1","0"
"GolemCrafter","Adara","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","54.4","-1","0"
"GrandpaCharley","Grandpa Charley","100","100","25","100","100","25","0","5","9","5","5","100","0","0","0","0","0","36","-1","0"
"Gypsy","Min","31","41","51","31","41","51","0","3","5","8","8","100","0","0","0","0","0","47.86","-1","0"
"GypsyAnimalTrainer","Foster","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","60","-1","0"
"GypsyBanker","Rona","100","100","25","100","100","25","0","3","5","8","8","100","0","0","0","0","0","38.5","-1","0"
"GypsyFortuneTeller","Mandisa","316","133","208","316","133","208","50","45","53","52","51","100","0","0","0","0","0","90.1","-1","0"
"GypsyMaiden","Zakia","100","100","25","100","100","25","0","5","9","5","5","100","0","0","0","0","0","37.8","-1","0"
"HairStylist","Skyler","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","56.7","-1","0"
"HarborMaster","Keir","31","41","51","31","41","51","0","0","0","0","0","100","0","0","0","0","0","22.66","-1","0"
"Healer","Miles","367","147","296","367","147","296","50","42","40","46","46","100","0","0","0","0","0","101.7","-1","0"
"HealerGuildmaster","Auda","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","70.6","-1","0"
"Herbalist","Dilly","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","56.3","-1","0"
"HireBard","Caryn","16","26","26","16","26","26","0","0","0","0","0","100","0","0","0","0","0","51.86","-1","0"
"HireBardArcher","Caryn","16","26","26","16","26","26","0","0","0","0","0","100","0","0","0","0","0","51.96","-1","0"
"HireBeggar","Nelek","26","21","36","26","21","36","0","0","0","0","0","100","0","0","0","0","0","28.06","-1","10.9"
"HireFighter","Daniella","91","91","50","91","91","50","12","24","19","18","22","100","0","0","0","0","0","70.2","-1","34.2"
"HireMage","Juma","68","86","91","68","86","91","0","0","0","0","0","100","0","0","0","0","0","80.4","-1","0"
"HirePaladin","Kelly","99","94","62","99","94","62","20","16","12","15","13","100","0","0","0","0","0","74.5","-1","16.8"
"HirePeasant","Bialy","26","21","16","26","21","16","0","0","0","0","0","100","0","0","0","0","0","13.36","-1","5"
"HireRanger","Foster","91","76","61","91","76","61","8","16","12","12","16","100","0","0","0","0","0","68.26","-1","36.6"
"HireRangerArcher","Avana","91","76","61","91","76","61","10","20","15","15","20","100","0","0","0","0","0","67.66","-1","32.1"
"HireSailor","Bethany","86","66","41","86","66","41","0","0","0","0","0","100","0","0","0","0","0","77.1","-1","0"
"HireThief","Abdel","81","96","64","81","96","64","0","0","0","0","0","100","0","0","0","0","0","79.4","-1","0"
"HolyMage","Jaron","100","100","25","100","100","25","10","6","4","6","4","100","0","0","0","0","0","71.2","-1","41.2"
"InnKeeper","Lillie","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","29.4","-1","0"
"IronWorker","Oliana","100","100","25","100","100","25","0","5","9","5","5","100","0","0","0","0","0","74.7","-1","0"
"Jeweler","Theone","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","37.9","-1","0"
"Jothan","Elder Jothan","100","100","25","100","100","25","1","5","2","2","5","100","0","0","0","0","0","29.4","-1","0"
"KeeperOfChivalry","Amalia","100","100","25","100","100","25","27","19","13","18","15","100","0","0","0","0","0","63.8","-1","0"
"LeatherWorker","Cornelius","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","29.3","-1","0"
"Mage","Tansy","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","70.9","-1","61.6"
"MageGuildmaster","Frank","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","75.5","-1","81.3"
"Mallew","Elder Mallew","100","100","25","100","100","25","7","14","8","14","17","100","0","0","0","0","0","29.3","-1","0"
"Mapmaker","Meredith","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","38.9","-1","0"
"Merchant","Casey","91","93","20","91","93","20","0","0","0","0","0","100","0","0","0","0","0","41.26","-1","0"
"MerchantGuildmaster","Gaia","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","47.7","-1","0"
"Messenger","Byron","95","98","20","95","98","20","0","0","0","0","0","100","0","0","0","0","0","28.6","-1","0"
"Miller","Pembroke","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","29.3","-1","0"
"Miner","Andra","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","36.6","-1","0"
"MinerGuildmaster","Heather","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","46.9","-1","0"
"Minter","Pandita","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","29.6","-1","0"
"Monk","Shanley","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","69.9","-1","73.5"
"MysteriousWisp","a mysterious wisp","223","205","214","352","205","214","37","24","23","10","68","50","0","0","0","50","0","93.2","-1","80"
"Mystic","Sonya","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","71.6","-1","63"
"Necromancer","Tadi","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","71.6","-1","0"
"Ninja","Zaza","100","100","25","100","100","25","4","8","6","6","6","100","0","0","0","0","0","71.4","-1","0"
"Noble","Blythe","96","99","16","96","99","16","0","0","0","0","0","100","0","0","0","0","0","55.66","-1","0"
"Nythalia","Nythalia","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","29.1","-1","0"
"Olaeni","Olaeni","100","100","25","100","100","25","1","5","2","2","5","100","0","0","0","0","0","28.9","-1","0"
"OrderGuard","Rasine","1000","1000","1000","1000","1000","1000","16","9","6","9","6","100","0","0","0","0","0","160","-1","0"
"Paladin","Marshal","100","150","40","100","150","40","26","20","15","16","15","100","0","0","0","0","0","75.4","-1","0"
"Peasant","Austin","94","100","20","94","100","20","0","0","0","0","0","100","0","0","0","0","0","33.34","-1","0"
"PricedHealer","Patton","392","113","235","392","113","235","43","50","48","40","50","100","0","0","0","0","0","93","-1","0"
"Provisioner","Jonina","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","40.6","-1","0"
"Rancher","Hilda","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","55.9","-1","0"
"Ranger","Bardo","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","70.6","-1","0"
"RangerGuildmaster","Rutledge","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","82","-1","0"
"RealEstateBroker","Rachel","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","30.2","-1","0"
"Rebinil","Rebinil","100","100","25","100","100","25","1","5","2","2","5","100","0","0","0","0","0","28.7","-1","0"
"Samurai","Diego","100","100","25","100","100","25","14","13","10","11","12","100","0","0","0","0","0","61.1","-1","0"
"Scribe","Carl","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","45.2","-1","0"
"Sculptor","Maggie","31","41","51","31","41","51","0","0","0","0","0","100","0","0","0","0","0","15.66","-1","0"
"SeekerOfAdventure","Clarissa","98","100","25","98","100","25","0","0","0","0","0","100","0","0","0","0","0","35.28","-1","0"
"Shipwright","Shin","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","43.1","-1","0"
"StoneCrafter","Samson","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","39.8","-1","0"
"Taellia","Elder Taellia","100","100","25","100","100","25","1","5","2","2","5","100","0","0","0","0","0","29.6","-1","0"
"Tailor","Kevin","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","39.7","-1","0"
"TailorGuildmaster","Lennor","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","38.8","-1","0"
"Tanner","Syeira","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","34.8","-1","0"
"TavernKeeper","Crandall","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","28.8","-1","0"
"Thief","Ruthann","100","100","25","100","100","25","0","0","0","0","0","100","0","0","0","0","0","70.4","-1","0"
